N,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,pid,ast.tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,extra,ET,VaCatEf
2715,Zach Saylor,Central Michigan,MAC,9,2.9,56.7,24.4,25,28.92,20.1,3.8,0,35.6,2,5,0.4,2,8,0.25,0,0,0,3.4,5.2,62.5,-0.343465,58.8343,4.4,5811,0,97.4287,99.2644,0.364665,6.91192,-11.6317,-10.0017,-1.63007,-10.0702,4,-7.81959,-2.25066,0.6667,0.1111,0.7778,0,0.3333,0.1111,0.6667,0,0,BAJO
2716,Adrian Hunter,Central Michigan,MAC,28,27,94.7,15.8,48.8,50.53,2.5,13.9,6.5,22.2,11,17,0.647,9,24,0.375,20,56,0.357,0,0.9,21.3,0.171864,88.4186,3.1,5812,0.52623048,104.444,108.652,0.729211,47.4502,-5.16618,-2.1641,-3.00208,-3.90947,12.1429,-1.32815,-2.58133,0.25,1.25,1.5,0.3571,0.1786,0,3.1786,10.286,0.303571428571429,MEDIO
2717,Daniel Barnes,Eastern Michigan,MAC,10,3.2,40.4,25.7,25,23.41,0,12.9,6.2,31.5,0,2,0,2,6,0.333,1,8,0.125,0,3.3,14.3,-0.563816,42.6046,2.1,5813,0.2,99.941,101.136,0.3401,7.03344,-15.9096,-13.3113,-2.59833,-13.1955,3.9,-10.5549,-2.6406,0,0.4,0.4,0.1,0.2,0,0.7,13.0106,0.173611111111111,BAJO
2718,Antonio Weary,Central Michigan,MAC,31,52.5,85.7,15.3,46.8,50.36,5.8,11.4,13.6,33.4,33,55,0.6,32,71,0.451,8,23,0.348,2,2.3,58.5,-0.352259,79.4365,5.8,5814,0.79631437,101.209,105.253,1.53243,108.395,-1.73832,-2.57658,0.838255,-3.35051,21.3548,-3.65744,0.306928,1.0323,1.8065,2.8387,1.3871,0.7742,0.3548,3.9032,2.17265,0.324147785262298,MEDIO
2719,Antonio Green,Eastern Michigan,MAC,27,32.8,82.3,19,44,46.81,1.5,10.4,9.6,25.9,15,20,0.75,19,49,0.388,19,59,0.322,1.1,1.9,18.5,-0.11581,81.9771,2.8,5815,0.48392995,103.193,105.967,1.02669,62.5447,-6.04911,-4.45475,-1.59436,-5.03454,14.7778,-3.77044,-1.2641,0.1852,1.2222,1.4074,0.5556,0.4444,0.1481,4.0741,9.3613,0.290268649832814,MEDIO
2720,Branden Harrison,Eastern Michigan,MAC,22,18.3,69.1,16.2,30.6,33.46,4.8,13.1,6.5,21,6,9,0.667,15,40,0.375,1,14,0.071,7,1.1,16.7,-0.622149,66.2972,2.9,5816,0.49990838,100.773,101.063,0.8726,38.6974,-5.74477,-7.14998,1.40521,-4.74953,10.0909,-5.14245,0.392927,0.4091,1.0455,1.4545,0.2727,0.1818,0.6364,1.7727,3.98139,0.160714285714286,BAJO
2721,Brad Bald,UNC Wilmington,CAA,5,2.7,116.1,10.3,42.9,42.86,8.9,13.7,10.6,0,0,0,0,3,7,0.429,0,0,0,0,0,0,0.297229,96.8095,0,5827,0,118.152,119.441,0.161749,4.81644,-5.41436,-1.65169,-3.76267,-2.27011,7,1.19703,-3.46714,0.6,0.8,1.4,0.4,0,0,1.2,0,0,BAJO
2722,Kevon Moore,UNC Wilmington,CAA,28,48.2,89,23.3,45.8,48.46,4.7,15.8,10.1,18.9,60,107,0.561,60,133,0.451,22,70,0.314,0,2.4,52.7,0.69872,93.4343,2.9,5828,0.61998098,111.921,111.196,1.1487,118.299,-4.91367,-2.29382,-2.61985,-3.83262,22.3571,-1.30102,-2.5316,1,2.9286,3.9286,1.1071,0.9643,0,8.7857,6.16249,0.307518796992481,MEDIO
2723,Jerel Stephenson,UNC Wilmington,CAA,28,52.5,93.6,20.4,47.6,51.85,8.1,15.5,14.4,24.6,58,89,0.652,73,153,0.477,4,13,0.308,0.9,1.2,53.6,0.813423,94.0199,4.5,5829,0.80643997,113.899,112.847,1.11922,117.762,-4.11684,-2.43258,-1.68425,-4.87354,24.3571,-2.26999,-2.60355,1.8929,3.1429,5.0357,1.7857,0.5357,0.2143,7.7143,1.05073,0.312887548181666,MEDIO
2724,Brandon Hawkins,Pacific,BW,8,1.2,107.5,10.9,33.3,33.33,0,8.1,24.4,0,0,0,0,1,2,0.5,0,1,0,0,8.3,0,0.0533492,91.9541,2.5,5830,0,90.9374,94.1552,0.222856,3.79991,4.01263,0.984147,3.02848,3.49743,2,-2.56782,6.06526,0,0.125,0.125,0.25,0.25,0,0.25,4.09681,0.166666666666667,BAJO
