N,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,pid,ast.tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,extra,ET,VaCatEf
4410,Patty Mills,Saint Mary's,WCC,24,61.7,108.8,29,47.6,52.27,1.6,6,25.9,17.1,84,98,0.857,87,191,0.455,63,190,0.332,0.6,3.9,25.7,4.66241,123.834,2,49733,1.37879996,98.513,97.1169,3.4349,143.825,5.16627,4.90741,0.258865,7.47588,33.9583,5.28972,2.18616,0.4583,1.8333,2.2917,3.7917,2.2083,0.2083,18.625,14.2643,0.317621934417195,MEDIO
4411,Justin Garris,NJIT,ind,31,58.5,68.2,22.4,35.8,39.86,2.4,15.9,13.2,29.5,39,57,0.684,35,100,0.35,28,115,0.243,0.8,3.1,26.5,-1.42392,66.7209,5.5,49735,0.42501742,97.9417,102.929,1.89392,146.259,-8.45831,-7.79194,-0.666371,-8.10126,23.3871,-7.76847,-0.33279,0.5161,3.129,3.6452,1.0968,1.1935,0.1613,6.2258,9.48609,0.238405797101449,BAJO
4412,Jamal Durham,Winston Salem St.,ind,27,73.1,89.5,25.4,42,44.58,7.7,14.7,7,14.7,66,116,0.569,95,234,0.406,30,99,0.303,1.7,0.9,34.8,0.900408,92.8296,2.6,49748,0.39623026,101.283,108.336,1.88553,136.083,-5.37183,-2.22686,-3.14497,-2.77437,30.4444,0.0965235,-2.87089,2.2222,3.5926,5.8148,0.7778,0.4815,0.4815,12.8148,6.96852,0.286842786842787,MEDIO
4413,Dashawn Ford,Jackson St.,SWAC,1,0.1,0,20,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-0.292406,0,0,49750,0,110.783,122.548,0.0129035,0.098419,-24.9872,-22.7366,-2.25063,-61.818,1,-44.2525,-17.5655,0,0,0,0,0,0,0,0,0,BAJO
4414,Jeff Ayres,Arizona St.,P10,35,80.2,130.8,20.2,66,68.99,11,21.9,6.7,12.3,113,145,0.779,198,299,0.662,0,1,0,3.3,1,48.3,5.88808,137.154,3.3,49752,0.72090181,95.9973,89.8587,4.05345,210.51,7.45978,4.83715,2.62263,7.47108,32.5429,5.79765,1.67343,2.4857,5.7143,8.2,0.8857,0.4857,0.8571,14.5429,0.0578088,0.220735785953177,BAJO
4415,Jeremy DeWalt,UT Arlington,Slnd,8,4,76.9,16.5,28.1,27.31,8.1,20.3,3.9,0,0,1,0,3,8,0.375,1,8,0.125,2.7,0,6.3,-0.253058,71.0074,6.4,49758,0,105.815,113.248,0.248468,7.92493,-8.2023,-3.99513,-4.20717,-9.92517,5.5,-5.51765,-4.40752,0.375,1,1.375,0.125,0,0.125,1.125,10.3611,0.1875,BAJO
4416,Jeff Croft,Kennesaw St.,ASun,16,6.4,54,29.3,23.2,23.17,6,7.4,3.2,14.8,0,0,0,2,11,0.182,5,30,0.167,3.1,1.7,0,-0.422568,57.2053,4.4,49759,0.2,109.502,113.191,0.204182,10.2026,-17.1825,-10.1774,-7.00509,-17.3186,4.5,-10.6845,-6.63409,0.25,0.25,0.5,0.0625,0.125,0.125,1.1875,26.0488,0.143939393939394,BAJO
4417,J.R. Inman,Rutgers,BE,30,49.5,86.3,17,40.6,46.02,7.9,17.1,7.2,26.3,36,48,0.75,47,121,0.388,6,17,0.353,2.2,1,34.8,0.0690796,85.2099,3.8,49760,0.46805386,100.369,94.7456,2.32841,109.586,-1.33783,-3.10701,1.76918,-1.58526,21.2,-2.82965,1.24439,1.4333,3.3333,4.7667,0.7333,0.3667,0.5,4.9333,1.64999,0.305947172257333,MEDIO
4418,Pat Kiscaden,Presbyterian,BSth,1,1.5,100.6,11.6,66.7,66.67,7.1,6.6,0,29.7,0,0,0,2,3,0.667,0,0,0,6,0,0,0.25155,88.2943,6.7,49761,0,103.084,105.312,1.30883,2.53232,-6.26383,-5.48769,-0.776149,-4.32274,18,-3.16213,-1.16061,1,1,2,0,0,1,4,0,0,BAJO
4419,Marcus Pillow,Central Arkansas,Slnd,25,80.7,89,23.4,40.9,44.6,1.2,8.9,19.1,17.4,50,65,0.769,39,129,0.302,56,172,0.326,0.1,1.7,21.6,0.926049,92.5344,2.1,49762,1.0727272,110.935,113.305,1.4519,117.956,-3.38667,0.0285292,-3.4152,-3.19591,32.28,-0.387051,-2.80886,0.36,2.48,2.84,2.36,0.88,0.04,11.84,12.7245,0.263565891472868,BAJO
4420,Paul Delaney III,UAB,CUSA,33,84.1,119.7,22.4,59.3,64.18,3,11.8,20.5,16.7,149,193,0.772,158,263,0.601,22,59,0.373,0.5,3.6,59.9,4.97898,125.693,2.3,49763,1.57533568,94.6466,91.3143,4.20094,235.798,8.99812,5.27367,3.72445,9.24015,35.0303,4.89458,4.34557,0.8788,3.5455,4.4242,3.4848,2.1212,0.1515,16.0909,3.02279,0.38669416339069,MEDIO
4421,Cortez Riley,North Florida,ASun,29,75.4,78.5,28.1,39.1,41.37,2.6,14.5,32.5,24.1,56,106,0.528,96,257,0.374,17,54,0.315,0.5,2.1,34.1,-0.00965285,84.1747,3,49766,1.13266057,106.052,108.601,1.8485,151.584,-4.93187,-3.42478,-1.50708,-5.30414,30.4138,-3.10876,-2.19538,0.6897,3.6552,4.3448,3.8276,1.0345,0.1379,10.3103,3.7307,0.28192102608445,MEDIO
4422,Jerome Adolphus Jordan,Tulsa,CUSA,35,67.4,111.3,26.1,58.6,62.77,11.4,24.2,8.8,20.9,134,183,0.732,174,297,0.586,0,0,0,9.9,0.8,61.6,3.6637,123.428,4.6,49769,0.38824836,87.3672,84.7216,3.88674,223.037,7.12658,1.2435,5.88308,7.8984,27.0571,3.91392,3.98449,2.4857,6.0286,8.5143,0.9429,0.3714,2.5714,13.7714,0,0,BAJO
4423,Xavier  Perkins,Florida Atlantic,SB,8,18.8,111.5,23.3,54.3,62.36,7.7,16.9,21.1,23,36,45,0.8,24,48,0.5,5,10,0.5,0.4,1,77.6,3.20742,115.078,3.7,49770,1.0952381,110.29,112.207,1.46365,39.2219,0.0304023,2.3827,-2.3523,2.47652,30,3.45569,-0.979174,2,4.375,6.375,2.875,0.5,0.125,12.375,2.54635,0.416666666666667,MEDIO
4424,Philip Branch,North Carolina Central,ind,29,44.1,71.5,21.6,36.9,38.61,1.8,8.5,12.9,23.5,13,18,0.722,9,43,0.209,40,144,0.278,0,1,9.6,-0.801254,71.1881,4.3,49771,0.61701734,115.919,119.471,0.416341,68.2239,-10.7513,-5.0925,-5.65876,-10.5635,17.6552,-5.51738,-5.04611,0.3103,1.2414,1.5517,1,0.3103,0,5.2069,15.5276,0.208656330749354,BAJO
4425,Bryan Bostic,Presbyterian,BSth,21,52.7,89.8,27.4,47,49.6,3.9,12.9,18.8,22.9,39,57,0.684,55,126,0.437,37,109,0.339,1.4,2.2,24.3,1.11974,95.2914,3.3,49774,0.68253334,98.7317,101.389,2.5268,107.702,-2.14811,-1.89183,-0.256285,-1.0606,29.619,-0.780406,-0.280195,0.9048,3.1905,4.0952,2.0476,1.0476,0.381,12.381,10.8727,0.315227416144847,MEDIO
4426,Barry Honore,Southern,SWAC,29,64.3,88.5,20,46.3,48.93,6.4,13.6,3.2,24.1,40,60,0.667,80,185,0.432,17,43,0.395,2.7,1.3,26.3,0.0225017,84.5192,2.7,49777,0.16127975,102.106,109.384,1.50615,134.38,-6.26612,-4.36534,-1.90079,-4.41401,25.931,-2.69865,-1.71535,1.4828,3.0345,4.5172,0.3448,0.5517,0.6897,8.6552,3.3465,0.341818562748795,MEDIO
4427,Isiah Tucker,Winston Salem St.,ind,28,64.1,68.7,19.3,39.6,42.76,2.2,9,26,39.9,30,52,0.577,31,74,0.419,16,65,0.246,0,3.4,37.4,-1.60977,66.1706,3.8,49778,0.88540513,98.7338,105.574,1.84071,134.144,-7.14012,-5.94864,-1.19148,-8.17045,25.75,-7.06997,-1.10047,0.5357,1.8571,2.3929,3.0357,1.5,0,5,5.21769,0.262716562716563,BAJO
4428,Roge'r Guignard,UT Arlington,Slnd,25,69.6,105.9,22,54.3,55.14,1.9,7.1,22.6,19.6,18,25,0.72,55,107,0.514,65,174,0.374,0.3,2.8,8.9,2.34806,106.778,1.8,49782,1.53448278,106.846,108.366,1.8672,130.474,1.17155,3.35358,-2.18203,2.57464,30.36,3.64543,-1.07078,0.48,1.92,2.4,3.56,1.48,0.08,12.92,12.9513,0.358121173058331,MEDIO
4429,Vytas Sulskis,Youngstown St.,Horz,28,59.4,99,23.9,48.6,53.01,4,12.4,17,21.1,67,95,0.705,57,113,0.504,33,106,0.311,1.4,2,43.4,1.76167,105.642,5,49784,0.875,104.058,104.334,1.80765,116.464,0.696797,1.43602,-0.739224,0.772018,23.8571,0.976101,-0.204083,0.8571,2.5,3.3571,1.75,0.7857,0.3214,10,9.53307,0.323801970278845,MEDIO
4430,Jonathan Belt,Alabama A&M,SWAC,24,53.5,97.4,14.8,50,52.34,6.9,13.8,7.2,19.5,35,61,0.574,50,97,0.515,0,3,0,0.7,1,61,0.0918743,85.5048,5.2,49785,0.6296,100.957,107.913,1.36219,91.9373,-5.45125,-3.63949,-1.81176,-5.74513,21.5,-4.10202,-1.64311,1.4583,2.6667,4.125,0.7083,0.375,0.1667,5.625,0.321754,0.171821305841924,BAJO
4431,T.J. Worley,New Orleans,SB,28,84,99.2,25.6,49,53.65,2.5,10,8.1,17.7,97,126,0.77,110,217,0.507,42,136,0.309,0.2,1.9,35.7,2.23025,103.392,1.8,49790,0.42252633,102.545,103.975,2.59961,154.177,-1.72769,-0.170988,-1.5567,0.286747,33.6071,1.30145,-1.01471,0.6786,2.75,3.4286,1.0714,1.0714,0.0714,15.8214,8.6775,0.323382578837987,MEDIO
4432,J'Mell Walters,North Carolina Central,ind,16,22.2,65.4,20.1,33.6,40.49,2.8,8,22.7,38.4,16,22,0.727,17,47,0.362,1,8,0.125,0,1.1,40,-1.04347,65.5456,4.2,49792,0.75,115.908,117.878,0.467551,34.2693,-13.8922,-9.01715,-4.87505,-12.128,16.0625,-7.79756,-4.33045,0.4375,1.0625,1.5,1.6875,0.3125,0,3.3125,1.71364,0.183067375886525,BAJO
4433,David Dubois,Western Illinois,Sum,26,83.8,101.9,29.1,50.1,52.26,8.7,14.1,10.7,13.4,60,86,0.698,177,364,0.486,17,40,0.425,1.5,2.3,21.3,3.09518,108.979,3.6,49795,0.58182849,107.589,108.618,2.21058,149.569,-1.25544,0.67094,-1.92638,-0.731812,36.2692,1.46051,-2.19232,2.3462,3.5769,5.9231,1.2308,1.2692,0.4615,17.8846,2.84234,0.374587912087912,MEDIO
4434,Brendon Lyn,NJIT,ind,26,48,66,16.4,34.1,36.53,1.8,9.8,20.2,31.8,13,20,0.65,19,58,0.328,16,68,0.235,0.8,1.5,15.9,-1.99952,59.0871,2.8,49799,0.88459998,104.447,109.321,1.34564,90.5884,-10.36,-7.99313,-2.36685,-8.69534,22.8846,-7.11829,-1.57706,0.3846,1.8846,2.2692,1.7692,0.5769,0.1538,3.8077,6.83617,0.22684246112238,BAJO
4435,Tramaine Johnson,Delaware St.,MEAC,19,11.6,84.2,21.5,45.3,52.39,7.3,12,5,32.8,11,13,0.846,13,25,0.52,1,7,0.143,0,1.9,40.6,0.0370511,85.7256,4,49808,0.20000001,108.558,113.284,0.329786,20.7926,-10.0287,-5.17167,-4.85705,-6.51712,7.3684,-3.66773,-2.84939,0.4211,0.6842,1.1053,0.1579,0.2105,0,2.1053,3.28493,0.244761904761905,BAJO
4436,Scott VanderMeer,Illinois Chicago,Horz,30,78.8,95.8,20.8,39.6,43,10.7,20.9,8.9,13.6,56,86,0.651,122,308,0.396,0,0,0,9.6,1.6,27.9,1.55276,98.4568,3.8,49810,0.86363951,93.6259,93.8565,3.54659,216.512,3.83045,-1.2244,5.05486,1.27656,31.6667,-0.434406,1.71097,3,5.8667,8.8667,1.2667,0.8333,2.5333,10,0,0,BAJO
4437,Josh Olsen,Utah Valley,ind,23,73.8,107.8,20.4,55.6,59.8,1.9,11.4,24.3,24.8,49,58,0.845,54,108,0.5,34,81,0.42,0.6,1.3,30.7,2.26582,103.79,2.2,49813,1.43547136,102.924,107.103,2.23431,116.026,0.296663,0.834185,-0.537522,-0.0476002,34.1739,0.839796,-0.887396,0.4783,3.3478,3.8261,3.8696,0.6957,0.1739,11.2609,6.42267,0.376543209876543,MEDIO
4438,Paulius Skema,NJIT,ind,28,37.3,78,18.8,38,42.02,14.9,19,4.2,25.5,28,50,0.56,38,98,0.388,0,2,0,1.5,1.8,50,-0.644459,73.011,4.8,49818,0.18919327,99.0704,104.443,1.24953,89.2352,-9.42695,-7.40989,-2.01706,-8.08821,16.5,-5.51969,-2.56852,2.2857,2.6429,4.9286,0.25,0.5,0.2143,3.7143,0.258742,0.129251700680272,BAJO
4439,Travis Sligh,Presbyterian,BSth,29,64.7,91.7,13.9,48,54.19,8,13.3,6.7,29.3,46,65,0.708,46,93,0.495,2,9,0.222,0.9,2.3,63.7,-0.213171,81.8918,4.3,49819,0.46000812,98.4787,99.6041,2.39297,133.558,-1.82967,-3.21449,1.38482,-3.22398,26.3103,-4.06531,0.841332,1.6552,2.931,4.5862,0.7931,0.9655,0.2069,4.9655,0.731237,0.275985663082437,BAJO
4440,Willis Gardner,Colorado St.,MWC,27,70,108.6,16.7,48.5,53.49,3.1,6.8,14.3,15,60,78,0.769,73,142,0.514,18,64,0.281,1.1,1.4,37.9,2.42499,106.774,2.4,49820,1.61111521,112.464,108.994,1.86106,120.419,1.19958,2.70572,-1.50614,0.630765,31.4815,1.8849,-1.25414,0.8148,1.6667,2.4815,2.1481,0.7407,0.2963,9.6296,4.4695,0.311986502347418,MEDIO
4441,Mike Czepil,Nicholls St.,Slnd,18,11.9,104,15.8,45,57.14,8.4,14.5,9.3,24.1,13,15,0.867,6,8,0.75,2,12,0.167,0,1.4,75,0.312678,96.4483,3.3,49826,0.74999997,100.328,103.857,0.575218,20.4709,-3.11762,-1.22846,-1.88916,-2.16978,7.5,-0.931509,-1.23827,0.4444,0.7778,1.2222,0.3333,0.1667,0,1.7222,5.75871,0.333333333333333,MEDIO
4442,Cornel Williams,Long Beach St.,BW,30,36.4,113.2,14.4,51.7,51.72,8.1,14.3,7.9,9.1,4,8,0.5,22,42,0.524,26,76,0.342,1,1.5,6.8,0.971716,103.508,4.9,49831,1.80018012,106.216,104.203,1.11428,74.4498,1.45619,2.58543,-1.12924,0.323353,15.1,1.24096,-0.917602,1,1.7667,2.7667,0.6,0.3667,0.1333,4.2,9.9687,0.345655806182122,MEDIO
4443,Harris Gelin,Florida Gulf Coast,ASun,8,1.4,157.4,9.1,50,67.8,6.5,0,12.2,0,2,2,1,1,2,0.5,0,0,0,0,0,100,0.327246,128.647,4.7,49832,0,113.252,115.052,0.0826976,1.683,-3.80801,1.00115,-4.80915,-5.10991,2.125,-1.84323,-3.26668,0.125,0,0.125,0.125,0,0,0.5,0,0,BAJO
4444,Jacobie Shivers,Prairie View A&M,SWAC,28,39.1,103.4,18.3,52.8,54.79,8.8,19.2,2.5,17.3,31,50,0.62,66,125,0.528,0,0,0,1.9,0.6,40,0.706835,96.8313,6.6,49833,0.2000224,100.23,105.493,1.16869,86.1622,-6.2439,-3.51759,-2.72631,-4.52359,16.3571,-3.0487,-1.47489,1.3214,2.6786,4,0.1786,0.1786,0.2857,5.8214,0,0,BAJO
4445,Donald Lee,Cal St. Bakersfield,ind,25,27,107.1,14.5,58.6,59.39,9.2,14.3,2.2,20.5,15,25,0.6,34,58,0.586,0,0,0,2.1,2,43.1,0.525076,96.7741,5.6,49835,0.19999999,106.286,106.257,0.840074,55.4294,-1.70206,-1.35564,-0.346419,-2.20569,12.28,-2.12588,-0.0798141,1.04,1.4,2.44,0.12,0.4,0.24,3.32,0,0,BAJO
4446,Dre Smith,George Mason,CAA,33,70.1,100.1,18.2,42.6,45.63,2.5,8.7,7.1,10,40,51,0.784,63,137,0.46,43,162,0.265,0.6,1.8,17.1,1.28197,97.4402,3.3,49836,1.22219507,97.7104,97.9799,2.75278,147.506,0.143812,0.30547,-0.161658,-0.711756,28.3636,-1.25633,0.544578,0.6061,2.1818,2.7879,1,0.8182,0.1515,8.9394,10.873,0.286000720915563,MEDIO
4447,Semaj Inge,Temple,A10,34,72.6,93.3,18.9,41.9,45.33,4.8,10.2,23.2,24.2,45,68,0.662,73,184,0.397,15,44,0.341,1.8,2.5,29.8,0.973111,93.9273,3.4,49846,1.64861013,97.2969,93.7207,3.27845,179.03,1.78984,-0.683829,2.47367,1.2211,29.0294,-1.22462,2.44571,1.1765,2.7059,3.8824,3.5882,1.2059,0.5,6.9412,2.72482,0.30270092226614,MEDIO
4448,DeVon Jones,North Florida,ASun,5,3.9,64.9,26.1,27.3,40.54,12.3,18.3,0,35.5,6,8,0.75,3,11,0.273,0,0,0,0,4,72.7,-0.515768,68.1108,10.4,49851,0,99.091,97.4344,0.920448,10.2908,-17.2602,-12.2216,-5.03855,-10.8384,9.2,-10.4445,-0.393982,1,1.4,2.4,0,0.6,0,2.4,0,0,BAJO
4449,Delvin Franklin,Florida Gulf Coast,ASun,30,76.2,100.3,17.8,50.4,54.12,2.4,6.2,10.1,18.2,66,90,0.733,34,82,0.415,66,182,0.363,0,1.6,34.1,1.18223,95.4496,2.1,49858,0.75468386,107.095,109.122,1.81258,135.992,-2.29074,0.382829,-2.67357,-1.4331,30.4667,0.312741,-1.74584,0.6667,1.7667,2.4333,1.3333,0.8667,0,11.0667,11.1115,0.319530063432502,MEDIO
4450,Nemanja Jokic,Detroit,Horz,29,49.4,79.8,15.9,41.8,45.7,5.3,12.7,11.3,31.1,25,39,0.641,15,48,0.313,19,56,0.339,1.3,1.1,37.5,-0.568583,75.9672,4.1,49862,0.63043752,104.192,103.438,1.56394,86.3513,-2.79845,-3.17422,0.375763,-3.21825,19.8276,-2.87737,-0.340879,0.8276,1.931,2.7586,1,0.3448,0.2069,3.8621,6.01462,0.273809523809524,BAJO
4451,Will Graham,Wright St.,Horz,33,70.2,81.2,17.8,37.9,41.84,2.6,11.8,21.9,26,47,84,0.56,54,114,0.474,8,60,0.133,1,2.4,48.3,-0.448931,79.6563,2.7,49865,1.34329905,92.4435,92.0717,3.32954,167.348,0.345856,-2.51983,2.86568,-0.608073,28.2727,-3.09359,2.48552,0.6061,2.7879,3.3939,2.7273,1.0303,0.2121,5.4242,4.14547,0.224561403508772,BAJO
4452,Brian Chesnut,Coppin St.,MEAC,31,60.1,82.3,14.8,41.6,44.91,7.3,13,3,24.9,36,65,0.554,52,125,0.416,0,0,0,0.6,1.1,52,-0.724332,75.581,2,49867,0.24441995,105.077,109.791,1.37395,117.961,-6.65939,-4.57281,-2.08658,-6.38843,24.129,-3.75634,-2.63209,1.5484,2.6452,4.1935,0.3548,0.4516,0.129,4.5161,0,0,BAJO
4453,Tremain Holloway,North Carolina Central,ind,26,26.7,67.8,13.6,39.1,40.07,8.6,15.2,3.4,32.7,10,24,0.417,18,46,0.391,0,0,0,2.9,1.3,52.2,-1.02102,59.5884,6.7,49871,0.20000001,111.18,114.635,0.481238,53.7154,-9.69481,-7.82131,-1.8735,-11.2553,11.9231,-8.48939,-2.76588,1,1.5,2.5,0.1923,0.2692,0.3462,1.7692,0,0,BAJO
4454,Jonathan Montgomery,Northern Iowa,MVC,5,2.9,73.5,17.6,30,30.63,10.4,21.8,0,9.4,1,3,0.333,3,4,0.75,0,6,0,0,0,30,-0.395101,69.3043,3.1,49872,0,102.711,101.111,0.664264,6.23425,-12.3541,-5.4936,-6.86045,-8.0405,7.8,-4.669,-3.3715,0.6,1.4,2,0,0,0,1.4,9.9295,0.25,BAJO
4455,Ryan Brown,Cal St. Bakersfield,ind,17,7,126.4,7.4,75,74.27,4.1,9.4,2.6,20.4,2,3,0.667,6,8,0.75,0,0,0,4,2.3,37.5,0.285482,102.007,4,49873,0.5,107.12,105.753,0.330131,13.9446,1.0785,-1.09288,2.17138,0.665404,4.7059,-0.53485,1.20025,0.1765,0.3529,0.5294,0.0588,0.1765,0.1765,0.8235,0,0,BAJO
4456,Joe Bailey,Tennessee Martin,OVC,9,1.1,63.7,35.6,35.7,31.45,8.4,26.2,14.5,24.6,0,2,0,1,1,1,1,6,0.167,0,0,28.6,-0.081199,68.0667,6.2,49874,0.5,100.309,102.934,0.116951,2.53576,-13.7294,-7.94376,-5.7856,-18.8554,1.4444,-11.0474,-7.80802,0.1111,0.3333,0.4444,0.1111,0,0,0.5556,25.7368,0.416666666666667,MEDIO
4457,Michael Redell,Western Michigan,MAC,31,69.8,94.1,13.7,51.3,53.87,1.1,7.6,25,31.1,38,63,0.603,13,25,0.52,30,88,0.341,0,1.1,55.8,0.157415,85.8908,3.4,49879,1.66664944,105.347,109.509,1.6245,117.862,-3.50544,-1.03428,-2.47116,-4.14986,28.1613,-2.57443,-1.57542,0.2581,1.8387,2.0968,3.2258,0.4839,0,4.9677,6.27574,0.343787878787879,MEDIO
4458,Gabor Boros,USC Upstate,ASun,28,48.6,100,14.7,55,55.54,3.3,7.5,17.7,25.8,3,3,1,10,18,0.556,41,112,0.366,0.5,1.6,2.3,0.499057,91.1767,2.4,49880,1.27031928,108.026,108.781,1.26289,83.4613,-2.35398,-0.314796,-2.03919,-0.830824,21,0.128128,-0.958953,0.6071,1.3929,2,1.6786,0.5357,0.1071,5.2143,11.5216,0.368220899470899,MEDIO
4459,Ian Gibson,North Florida,ASun,8,9,17.3,7.6,9.1,8.37,0,3.4,1.9,30.7,0,2,0,1,11,0.091,0,0,0,3.3,4.7,18.2,-3.28106,11.0994,5.7,49882,0.25,103.997,105.66,0.924064,19.6527,-5.02372,-7.86952,2.8458,-7.81829,13.125,-9.49991,1.68162,0,0.375,0.375,0.125,1,0.375,0.25,0,0,BAJO
4460,J.D. Pollock,Kennesaw St.,ASun,6,13.4,119.3,19.7,58.5,58.73,2.9,9.7,32.1,14.7,3,5,0.6,17,27,0.63,7,20,0.35,0.7,6.2,10.6,2.30152,110.622,4,49883,2.57135509,99.9662,108.299,1.56914,32.1651,3.22131,3.79549,-0.574183,5.69914,25.1667,1.55996,4.13918,0.6667,1.8333,2.5,3,2.5,0.1667,9.6667,8.29415,0.384876543209877,MEDIO
4461,Andre Davis,Southern,SWAC,5,2.6,104.5,12.7,66.7,66.67,10.8,15,0,29.7,0,0,0,4,6,0.667,0,0,0,0,3.8,0,0.175091,92.4054,7.7,49889,0,96.6654,97.1948,0.625458,6.86512,-6.30894,-3.11153,-3.19741,-0.287116,6.2,-1.9424,1.65528,0.6,0.8,1.4,0,0.4,0,1.6,0,0,BAJO
4462,Rodrigo P. DaSilva,Texas Southern,SWAC,4,0.6,79.8,17.4,0,0,30.9,30.5,42,41.2,0,2,0,0,0,0,0,0,0,0,7.2,0,-0.0827401,72.3447,15,49890,2,86.4683,96.1267,0.209173,2.66073,1.12983,-3.90178,5.03161,-2.53782,2,-6.11968,3.58186,0.5,0.5,1,0.5,0.25,0,0,0,0,BAJO
4463,Brian Marks,Central Arkansas,Slnd,25,59.7,91.9,13.7,41,42.81,12.7,26.2,2.7,16,26,55,0.473,41,98,0.418,0,2,0,4.1,0.9,55,-0.0948505,83.1223,4.7,49897,0.31818182,102.467,104.655,1.79082,125.771,-4.07129,-3.42427,-0.647023,-3.58159,23.88,-2.17151,-1.41008,2.8,5.4,8.2,0.28,0.36,0.92,4.32,0.200005,0.139455782312925,BAJO
4464,Landrell Brewer,Central Arkansas,Slnd,25,38.5,87.3,17,43.4,46.62,9,18.4,3.8,21,27,50,0.54,33,76,0.434,0,0,0,4.7,2,65.8,-0.0528577,83.2778,3.8,49900,0.26086955,103.428,105.638,1.10239,78.2884,-3.80634,-4.12722,0.320884,-3.16213,15.4,-2.65551,-0.506623,1.28,2.44,3.72,0.24,0.52,0.68,3.72,0,0,BAJO
4465,Dave Marek,Southern Utah,Sum,29,80.1,107.6,16.1,56.6,59.95,2,5.9,19.7,23.7,46,59,0.78,33,75,0.44,47,108,0.435,0,1.5,32.2,1.68879,99.4595,2.9,49902,1.53573285,109.802,108.589,1.96501,126.75,-0.369695,1.55647,-1.92617,-0.195974,32.1724,0.726965,-0.922939,0.4483,1.3793,1.8276,2.9655,0.7586,0,8.7241,7.3343,0.364259259259259,MEDIO
4466,Nigel Peter-Denman,Denver,SB,24,16.2,82.2,13.4,36.4,40.45,1.6,7.7,10.4,17.6,5,6,0.833,0,8,0,8,25,0.32,0,0,18.2,-0.375557,71.3982,4.5,49905,1.42852245,108.272,109.849,0.479127,22.2425,-8.5663,-4.53402,-4.03228,-8.0965,8.5417,-4.82124,-3.27526,0.0833,0.4583,0.5417,0.4167,0,0,1.2083,8.41068,0.16,BAJO
4467,Zac Rich,USC Upstate,ASun,9,2.8,50.3,20.4,37.5,39.11,0,3.3,0,43.7,1,2,0.5,0,1,0,2,7,0.286,0,0,25,-0.448812,50.0297,2.4,49906,0,113.897,116.351,0.12999,3.3524,-17.7033,-11.8938,-5.8095,-15.268,3.7778,-9.33814,-5.92989,0,0.1111,0.1111,0,0,0,0.7778,12.4989,0.142857142857143,BAJO
4468,Andrew Silverman,Central Arkansas,Slnd,21,17.6,87.4,14.9,39.1,47.76,3.7,9.9,1.3,20.5,16,23,0.696,8,21,0.381,3,11,0.273,1.2,2.1,71.9,-0.104869,80.661,3.2,49909,0.11105926,108.932,111.753,0.422082,28.4114,-6.47889,-3.93506,-2.54384,-4.12229,8.381,-2.95336,-1.16893,0.2857,0.7143,1,0.0476,0.2857,0.0952,1.9524,3.73134,0.263347763347763,BAJO
4469,Malik Cooke,Nevada,WAC,32,67.3,117.5,18.1,56.3,60.05,11.7,14.3,5.9,15.9,77,108,0.713,98,179,0.547,12,27,0.444,2.2,3.9,52.4,2.97292,115.122,3.5,49911,0.57142857,95.0782,92.4739,3.25595,190.687,6.75597,3.65687,3.0991,6.22766,27.875,3.57953,2.64814,2.8438,3.4062,6.25,0.75,1.8438,0.5938,9.6562,1.79779,0.40471756672874,MEDIO
4470,John Allison,Kennesaw St.,ASun,28,31.1,90.7,16.6,49.3,52.72,5.9,14.4,2,24.8,21,32,0.656,33,71,0.465,2,2,1,5.4,0.9,43.8,-0.0233414,83.7264,4.7,49913,0.13038715,107.343,112.544,0.592571,55.2471,-9.06177,-7.06324,-1.99853,-7.37279,12.5,-5.39729,-1.9755,0.6786,1.3571,2.0357,0.1071,0.1786,0.6071,3.3214,0.357369,0.654929577464789,BUENO
4471,Phillip Martin,Radford,BSth,30,51.2,88.4,13.6,49,50.91,6.2,7.5,10.3,31,27,48,0.563,36,79,0.456,8,19,0.421,1.3,0.9,49,-0.438294,78.0975,5,49914,0.77081247,105.502,107.039,1.36598,97.0647,-2.9127,-2.28003,-0.632668,-4.11438,20.9,-3.43312,-0.681264,1.1333,1.5667,2.7,1.2333,0.3333,0.2667,4.1,1.66712,0.362425049966689,MEDIO
4472,Rickey Claitt,Oregon St.,P10,34,82.2,119.7,12.5,68,68.38,1.5,6.7,15.5,21.2,37,55,0.673,53,81,0.654,39,83,0.47,0.1,2.1,33.5,3.06359,111.13,2.7,49917,1.84450317,109.05,102.629,2.69581,149.932,3.54856,3.25144,0.29712,1.96207,33.4706,0.992456,0.969617,0.3529,1.6765,2.0294,2.4412,1.0588,0.0294,7.6471,4.89219,0.453046754920918,MEDIO
